tid,loc_name,address_1,latitude,longitude,city,state,RunID,RunDate,InsertUpdateTime,postal_code,country,neighborhood,address_2
6967,"Shiv Asthan Heights, 16th Road - Bandra (West)","Shop No. 4, Shiv-Asthan Heights (Shiv-Asthan (Khar) CHSL), 16th Road, TPS III, Bandra (West)",19.062881,72.83065,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400050,India,Bandra (West),Shah Educational Academy
6968,"Galaxy Apartments, Bandstand - Bandra (West)","Shop No. 2 & 3, Galaxy Apartment CHSL, Byramjee Jeejeebhoy Road, Band Stand, Bandra (West)",19.05409,72.82342,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400050,India,Bandra (West),Bandstand
6969,Madhu Park - Khar (West),"Shop No. G-1, Heera House Building, Khar Heera Co-operative Housing Society Limited, 1st Road,  Madhu Park Heera Building, Khar (West)",19.071701,72.83503,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400052,India,Khar (West),Madhu Park
6970,"Rajgir Mansion, Dr. Ambedkar Road - Khar (West)","Shop No. 4, Rajgir Mansion Co-operative Housing Society Limited, Dr. Ambedkar Road, Khar (West)",19.072187,72.82734,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400052,India,Khar (West),Union Park
6971,"MIG Cricket Club, Gandhi Nagar - Bandra (East)","Opposite M I G Cricket Club, Near Sai Baba Temple, Ali Yavar Jung Marg, Gandhi Nagar, Bandra (East)",19.058157,72.847595,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400051,India,Bandra (East),MIG Cricket Club
6972,"Chapel Avenue, Chapel Road - Bandra (West)","Shop No. 5, Chapel Avenue CHSL, Chapel Road, Ranwar, Bandra (West)",19.051569,72.82835,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400050,India,Bandra (West),Samata Sahakari Bank Limited
6973,"Ostwal Garden CHSL, Kanakia Road - Mira Road (East)","Shop No. 3, Ostwal Garden CHSL, Kanakia Road, Mira Road (East)",19.296862,72.8757,Mira Road,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,401107,India,Mira Road (East),Galaxy Hospital
6974,"Atreya CHSL, Edulji Road - Thane (West)","Shop No.1, Atreya CHSL, Edulji Road, Charai, Thane (West)",19.197496,72.97372,Thane,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400601,India,Thane (West),Ganesh Talkies
6975,"Aishwarya Trade Centre, Pimple Nilakh - Pune","Shop No. 6 & 7, Aishwarya Trade Centre, Vishal Nagar, Pimple Nilakh",18.58788,73.77991,Pune,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,411027,India,Pimple Nilakh,Merazo Hotel
6976,"Om Harmony CHSL, Sector 11 - Kopar Khairane","Shop No. 7, Om Harmony CHSL, Plot No. 15/1, Sector 11, Kopar Khairane",19.092915,73.01195,Navi Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400709,India,Kopar Khairane,Bonkode Village
6977,"Krishna Prestige, Mira Village - Mira Road (East)","Shop No. 30, E-Wing, Krishna Prestige, MIDC Rd, Mira Village, Mira Road (East)",19.271015,72.874886,Mira Bhayandar,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,401107,India,Mira Road (East),Mira MIDC
6978,"Raj Life Style CHSL, Opp. GCC Club - Mira Road (East)","Shop No. 1, Raj Life Style CHSL, Hatkesh Udhog Nagar, Mira Bhayandar, Mira Road (East)",19.28264,72.87915,Mira Bhayandar,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,401107,India,Mira Road (East),GCC Club
6979,"Manas CHSL, Naupada - Thane (West)","Shop No. 5, 6 & 7, Manas CHSL, Mahatma Gandhi Road (Kopri Road), Bhaskar Colony, Naupada, Thane (West)",19.187145,72.96711,Thane,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400602,India,Thane (West),Saraswati Krida Sankul
6980,"Shreyans Paradise, Hadapsar - Pune","Commercial Showroom, Ground Floor, Shreyans Paradise, Plot No. 60, Indraprashtha Society, Hadapsar",18.500301,73.94911,Pune,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,411028,India,Hadapsar,Indraprashtha Society
6981,"R Cube, Dhankawadi - Pune","Shop No. 5, 6, 7, 8, 9, R Cube, Survey No. 34/4/4/1, Dhankawadi, Haveli",18.46017,73.84955,Pune,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,411043,India,Haveli,Mohan Nagar
6982,"Honey Enclave, Kondhwa Khurd - Pune","Shop No. 1, 2, 3 & 4, Honey Enclave, Galli No. 20, Survey No. 18/5, N.I.B.M, Kondhwa Khurd",18.478666,73.89809,Pune,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,411048,India,Kondhwa Khurd,Nivedita Garden
6983,"Kaypee 14 Plus, Undri - Pune","Shop No. 11, Kaypee 14 Plus, Survey No. 39/1, Wadachiwadi Road, 38 Park Majestique",18.445827,73.91774,Pune,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,411060,India,38 Park Majestique,Undri
6984,"Sumeet Enclave CHSL, Sant Dnyaneshar Marg - Thane (West)","Shop No. 3, Sumeet Enclave CHSL, Sant Dnyaneshwar Marg, Panch Pakhadi Village, Thane (West)",19.195942,72.9658,Thane,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400602,India,Thane (West),TMC Office
6985,"Govind Bhuvan, Old Nagardas Road - Andheri (East)","Shop No. 1, Govind Bhuvan, Old Nagardas Road, Andheri (East)",19.122063,72.85058,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400069,India,Andheri (East),Shri Chinai College
6986,"Narmada CHSL, Sector 19 - Airoli","Shop No. D - 7 & 8, D Wing, Narmada CHSL,  Plot No - 36, Sector No. 19, Airoli",19.160366,72.99038,Navi Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400708,India,Airoli,Sec 19-20 Garden
6987,"Nirman Altius, Kharadi - Pune","Shop No. 5, A-Wing, Nirman Altius,,  Behind Raddison Hotel, S. No. 7, Hissa No. 2, Kharadi",18.553505,73.93887,Pune,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,411014,India,Kharadi,Raddison Blu
6988,"Satyam Imperial Heights, Sector 11 - Ghansoli","Shop No. 13, Satyam Imperial Heights CHSL, Plot No. 11, Sector 11, Ghansoli",19.120722,72.99149,Navi Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400701,India,Ghansoli,NMMT Bus Depot
6989,"Prajakta CHSL, J B Nagar - Andheri (East)","Shop No. 7, Bldg C, Prajakta CHSL, Sahar Airport Road, J.B. Nagar, Andheri (East)",19.107004,72.864746,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400059,India,Andheri (East),Amar Fast Food
6990,"Hulse Building, 6th Phase - J.P. Nagar","Hulse Building, Site No. 717, Sarakki, 24th Main Road, 6th Phase, J.P. Nagar, J.P. Nagar",12.90451,77.58568,Bengaluru,Karnataka,46300,03-05-2022 09:01,03-05-2022 09:01,560078,India,J.P. Nagar,Udupi Upahar Party Hall
6991,"Ayyappa Arcade, 4th Phase - Girinagar","Ayyappa Arcade, Vishwabharathi CSL, 80 Feet Road, 4th Phase BDA, Srinivas Nagar, Girinagar, Girinagar",12.93483,77.5472,Bengaluru,Karnataka,46300,03-05-2022 09:01,03-05-2022 09:01,560085,India,Girinagar,Saligrama Party Hall
6992,"ARC Plaza, Mahadeo Nagar - Manjari Budruk","Shop No. 1, ARC Plaza, Mahadeo Nagar, Manjari Budrukh",18.50786,73.955414,Pune,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,412307,India,Manjari Budrukh,Sanjeevani Hospital
6993,"Bella Vista CHSL, Oswal Park - Thane (West)","Shop No. 2B, Bella Vista CHSL, Oswal Park, Pokharan Road, Thane (West)",19.214256,72.97631,Thane,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400601,India,Thane (West),Oswal Park
6994,"Ashok Nagar CHSL, Vazira Naka, Borivali (West)","Shop No. 1, A Wing, Ashok Nagar CHSL, Baburav Paranjape Road, Vazira Naka, Borivali (West)",19.231764,72.84414,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400092,India,Borivali (West),Jayraj Garden
6995,"Eshwari Embassy, 8th Phase - Kothnur","Eshwari Embassy Apartment, Plot No. 126/1, 8th Phase, Uttarahalli Hobli, Bommanahalli Zone, Kothnur",12.879045,77.58436,Bengaluru,Karnataka,46300,03-05-2022 09:01,03-05-2022 09:01,560078,India,Kothnur,Crossroad South Church
6996,"Pranav CHSL, Gaodevi Road - Thane (West)","Shop No.1, Pranav CHSL, Naik Wadi, Gaodevi Road, Thane (West)",19.188984,72.97542,Thane,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400602,India,Thane (West),Gaodevi Bus Stop
6997,"Devchhaya, Rawalpada, Dahisar (East)","Shop No. 7, A & B Wing, Devchhaya, Shiv Vallabh Cross Road, Rawalpada, Dahisar (East)",19.244963,72.86795,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400068,India,Dahisar (East),Ravalpada Market
6998,"Charan Heights, Ambegaon Buduruk - Pune","Shop No. 01, Charan Heights, Survey No. 2/1/1, Ambegaon Budurukh",18.458227,73.83536,Pune,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,411046,India,Ambegaon Budurukh,Sinhgad College
6999,"Anandbagh, Ananatha Sarawathi Nagar - Malkajgiri","Shop No. 25, E Anandbagh Main Road, Ananatha Sarawathi Nagar, Malkajgiri",17.458132,78.543205,Hyderabad,Telangana,46300,03-05-2022 09:01,03-05-2022 09:01,500040,India,Malkajgiri,Sai Linga's Banquet & Function Hall
